x,y,vx,vy,rho,pressure,neighbor_count
4.500000000e-06,4.500000000e-06,0.000000000e+00,0.000000000e+00,9.979947727e+02,-1.582053947e+05,10
3.307317352e-02,4.500000000e-06,1.388490769e-01,0.000000000e+00,1.003372918e+03,1.116957053e+06,13
6.928629940e-02,4.500000000e-06,2.958001533e-01,0.000000000e+00,1.003577314e+03,1.129319205e+06,12
2.873691542e-01,2.334975905e-01,2.534275324e+01,1.117627297e+00,9.552587604e+02,-3.090143893e+05,11
1.057198030e-01,4.500000000e-06,4.590031512e-01,0.000000000e+00,1.003810488e+03,1.142675419e+06,12
2.670482465e-01,2.369189368e-01,1.783873195e+01,1.644324075e+00,1.056986375e+03,1.330748645e+06,9
1.421876028e-01,4.500000000e-06,5.563888889e-01,0.000000000e+00,1.004019417e+03,1.162973925e+06,13
1.785445690e-01,4.500000000e-06,6.096576804e-01,0.000000000e+00,1.004026817e+03,1.157509449e+06,13
2.159103365e-01,4.500000000e-06,5.538180082e-01,0.000000000e+00,1.003831476e+03,1.124957665e+06,13
2.543190412e-01,4.500000000e-06,5.124513821e-01,0.000000000e+00,1.003679027e+03,1.100683181e+06,12
2.939346935e-01,4.500000000e-06,4.670350637e-01,0.000000000e+00,1.003613572e+03,1.086433819e+06,12
3.350987512e-01,4.500000000e-06,4.648190063e-01,0.000000000e+00,1.003658341e+03,1.084690109e+06,12
3.883463750e-01,4.500000000e-06,4.980697191e-03,0.000000000e+00,1.003449965e+03,1.064688997e+06,11
4.315076006e-01,4.500000000e-06,1.422148381e-02,0.000000000e+00,1.003443444e+03,1.064155539e+06,11
5.467254269e-01,4.500000000e-06,3.740549024e-01,0.000000000e+00,1.003536717e+03,1.071807184e+06,10
9.999955000e-01,1.137277112e-01,0.000000000e+00,-3.986905220e-01,1.003564297e+03,1.074257608e+06,10
4.500000000e-06,2.245465927e-02,0.000000000e+00,6.057902909e-03,1.004805698e+03,1.545071947e+06,13
3.102993317e-01,2.552587184e-01,1.212775136e+01,3.132684736e+00,9.944591214e+02,-3.090143893e+05,13
3.660042364e-01,1.564716846e-01,1.376958712e+01,4.344351926e+00,1.004308951e+03,2.436015364e+05,10
3.228484372e-01,6.574306223e-02,1.760991524e+01,-4.213509941e-01,9.991717515e+02,1.798149776e+05,11
2.381687776e-01,1.562655533e-01,1.265304039e+01,8.938231421e+00,1.091223577e+03,1.240123999e+06,3
2.528305722e-01,7.976008359e-02,-6.414798742e-01,1.088729219e+01,9.941638166e+02,-3.090143893e+05,8
3.066485049e-01,1.552568423e-01,1.360746342e+01,1.013030934e-01,9.697600721e+02,-3.090143893e+05,6
3.810999898e-01,7.453275029e-02,1.650591736e+01,-1.049913696e+00,9.998503197e+02,2.099958094e+04,11
4.134216033e-01,1.004617355e-01,1.065289353e+01,4.093420836e+00,9.971691422e+02,6.864513186e+03,10
4.288486871e-01,9.739886591e-02,1.398601766e+01,3.480339449e+00,9.944139364e+02,-2.589540144e+05,10
4.512919501e-01,1.014239053e-01,1.336712433e+01,1.522082809e+00,9.940187553e+02,-8.136939680e+04,11
4.991872158e-01,9.615451947e-02,9.441970663e+00,3.776899056e-01,9.997554093e+02,2.369085830e+04,8
3.974632432e-01,1.090421928e-01,8.052396672e+00,1.004655025e+00,9.961202003e+02,-2.037032616e+05,8
5.416195284e-01,1.542707675e-01,1.434579167e+01,-1.905546042e+00,1.001348803e+03,3.287130037e+04,9
5.056741915e-01,1.048854956e-01,1.166853274e+01,4.851869775e+00,9.998112271e+02,-2.574761898e+04,6
5.833297987e-01,1.093118213e-01,1.466711126e+01,-2.786708080e-01,1.000000000e+03,0.000000000e+00,4
4.500000000e-06,5.160287700e-02,0.000000000e+00,1.998137379e-02,1.004257924e+03,1.479860418e+06,12
9.955754399e-02,2.305527844e-01,-6.068761326e+00,-4.022031713e+00,1.034433802e+03,1.308536149e+06,11
1.062809343e-01,1.932324704e-01,8.082618396e-01,1.317173510e+00,9.909519146e+02,-1.666739390e+05,9
3.066011296e-01,1.372184232e-01,1.200946538e+01,6.912511038e+00,1.002122885e+03,-3.090143893e+05,7
3.284938537e-01,1.000530128e-01,4.498347925e+00,7.585402259e-01,9.984395038e+02,1.244409959e+05,8
2.742121822e-01,9.560003468e-02,4.302846007e+00,-2.773922802e-01,9.809300784e+02,-3.090143893e+05,8
3.112644235e-01,1.205419289e-01,2.225874893e+01,3.431292100e+00,9.987404875e+02,5.152662705e+04,8
3.723869021e-01,7.488695007e-02,1.447755139e+01,1.154800137e-01,1.000004256e+03,-2.373212424e+04,9
4.011095515e-01,1.222374211e-01,1.357267891e+01,-1.849106704e+00,1.002530372e+03,7.314809042e+04,8
3.717948156e-01,1.766029102e-01,5.352108367e+00,8.952414444e+00,1.007482082e+03,2.441748023e+05,12
4.490377140e-01,1.027261724e-01,1.200421578e+01,-6.696719477e-01,1.007233684e+03,2.838502601e+05,11
4.773029251e-01,1.000984087e-01,1.501918728e+01,-2.314132086e+00,1.004158633e+03,1.604298842e+05,12
4.754499374e-01,9.976295023e-02,1.080052713e+01,-1.524748595e+00,9.963200622e+02,-1.058312496e+05,12
5.399270149e-01,1.535666101e-01,1.336072699e+01,-2.447808794e+00,1.000708553e+03,-2.446982204e+04,9
6.202109583e-01,8.009524382e-02,1.941716350e+01,-7.263102299e+00,9.943568575e+02,5.431194343e+04,11
5.826912682e-01,1.111980847e-01,1.911845567e+01,7.805145893e+00,1.000000000e+03,0.000000000e+00,4
1.919718122e-01,2.161446602e-01,-5.575121174e-01,-9.368018400e-02,9.986897134e+02,-3.090143893e+05,5
1.781462375e-01,6.563877433e-02,5.582467272e+00,2.695442638e+00,1.000001808e+03,1.049582387e+04,8
1.991360629e-01,2.158546503e-01,9.741391117e+00,3.423744028e+00,1.008948031e+03,2.583510790e+05,5
2.451477643e-01,2.627804944e-01,1.484778823e+00,1.406605872e+01,1.036733323e+03,9.023764060e+05,11
3.187532918e-01,1.004279528e-01,1.987068487e+00,-1.769296379e+00,1.009548796e+03,2.521507888e+05,10
3.605136482e-01,1.403871623e-01,1.238592924e+01,1.838938100e+00,1.000753396e+03,2.204083692e+05,9
3.881191250e-01,1.263531555e-01,8.799877094e+00,-6.511344563e+00,1.002107173e+03,7.471853495e+04,8
3.076976651e-01,1.180891140e-01,-6.754509315e+00,1.679022137e+00,9.800328510e+02,-3.090143893e+05,8
4.225204670e-01,1.098996478e-01,1.027655641e+01,4.083012356e+00,1.007245270e+03,2.322468351e+05,9
4.116687404e-01,1.826339462e-01,1.278491176e+01,7.094345815e+00,9.901282808e+02,-2.892380603e+05,13
3.742223854e-01,1.291581310e-01,5.819936602e+00,-4.089377606e-01,9.975783600e+02,-3.493301151e+04,7
