x,y,vx,vy,rho,p,neighbor_count
7.163334692e-02,8.572566293e-02,4.074516814e+02,3.156030815e+02,1.179644428e+03,1.796444279e+07,34
1.993486511e+00,4.314658077e-02,-1.254312244e+02,6.279817068e+01,8.583977574e+02,-1.416022426e+07,26
5.296050761e-03,3.091580715e-02,-4.990185410e+01,3.094377655e+01,7.164553185e+02,-2.835446815e+07,29
2.628276196e-02,2.970542505e-02,-2.038747643e+01,-6.951054370e+00,1.068673777e+03,6.867377666e+06,31
3.949856928e-02,2.999981296e-02,1.180370016e+01,-4.638770935e-01,1.112890207e+03,1.128902074e+07,32
5.000443614e-02,2.998124546e-02,6.451923883e+00,-1.223940418e+00,1.025416497e+03,2.541649652e+06,36
6.000703328e-02,2.999767706e-02,1.248080003e+00,-3.153929544e-01,1.002660595e+03,2.660595079e+05,35
6.999608255e-02,3.000133165e-02,-9.287422131e-02,-2.958963117e-03,1.003353884e+03,3.353884332e+05,36
7.999867874e-02,3.000057237e-02,-6.248005695e-02,-3.354041885e-02,1.003194683e+03,3.194683383e+05,36
8.999996975e-02,3.000054037e-02,6.378978813e-03,-2.827087648e-02,1.003060964e+03,3.060963698e+05,36
1.000000849e-01,3.000069492e-02,1.062105226e-02,-1.103990344e-02,1.003009451e+03,3.009451181e+05,36
1.100000447e-01,3.000078633e-02,5.420110156e-03,-4.885904458e-04,1.002982545e+03,2.982545439e+05,36
1.200000156e-01,3.000082189e-02,1.877456594e-03,3.860969090e-03,1.002972560e+03,2.972560007e+05,36
1.300000047e-01,3.000083183e-02,4.897328414e-04,5.142237832e-03,1.002969441e+03,2.969440702e+05,36
1.400000020e-01,3.000083386e-02,1.166725057e-04,5.422495311e-03,1.002968498e+03,2.968498205e+05,36
1.500000014e-01,3.000083421e-02,3.470302440e-05,5.475444445e-03,1.002968260e+03,2.968260167e+05,36
1.600000013e-01,3.000083427e-02,1.704003917e-05,5.485645889e-03,1.002968214e+03,2.968213715e+05,36
1.700000013e-01,3.000083429e-02,1.340748927e-05,5.487554404e-03,1.002968206e+03,2.968206140e+05,36
1.800000013e-01,3.000083429e-02,1.276154048e-05,5.487866524e-03,1.002968205e+03,2.968204918e+05,36
1.900000013e-01,3.000083429e-02,1.266088688e-05,5.487912054e-03,1.002968205e+03,2.968204717e+05,36
2.000000013e-01,3.000083429e-02,1.264597386e-05,5.487918506e-03,1.002968205e+03,2.968204687e+05,36
2.100000013e-01,3.000083429e-02,1.264378439e-05,5.487919417e-03,1.002968205e+03,2.968204683e+05,36
2.200000013e-01,3.000083429e-02,1.264347913e-05,5.487919538e-03,1.002968205e+03,2.968204682e+05,36
2.300000013e-01,3.000083429e-02,1.264343933e-05,5.487919554e-03,1.002968205e+03,2.968204682e+05,36
2.400000013e-01,3.000083429e-02,1.264343453e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
2.500000013e-01,3.000083429e-02,1.264343408e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
2.600000013e-01,3.000083429e-02,1.264343394e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
2.700000013e-01,3.000083429e-02,1.264343368e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
2.800000013e-01,3.000083429e-02,1.264343370e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
2.900000013e-01,3.000083429e-02,1.264343401e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
3.000000013e-01,3.000083429e-02,1.264343407e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
3.100000013e-01,3.000083429e-02,1.264343394e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
3.200000013e-01,3.000083429e-02,1.264343390e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
3.300000013e-01,3.000083429e-02,1.264343383e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
3.400000013e-01,3.000083429e-02,1.264343364e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
3.500000013e-01,3.000083429e-02,1.264343367e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
3.600000013e-01,3.000083429e-02,1.264343396e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
3.700000013e-01,3.000083429e-02,1.264343400e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
3.800000013e-01,3.000083429e-02,1.264343389e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
3.900000013e-01,3.000083429e-02,1.264343385e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
4.000000013e-01,3.000083429e-02,1.264343368e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
4.100000013e-01,3.000083429e-02,1.264343370e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
4.200000013e-01,3.000083429e-02,1.264343399e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
4.300000013e-01,3.000083429e-02,1.264343400e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
4.400000013e-01,3.000083429e-02,1.264343387e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
4.500000013e-01,3.000083429e-02,1.264343387e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
4.600000013e-01,3.000083429e-02,1.264343374e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
4.700000013e-01,3.000083429e-02,1.264343374e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
4.800000013e-01,3.000083429e-02,1.264343402e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
