x,y,vx,vy,rho,pressure,neighbor_count
4.500000000e-06,4.500000000e-06,0.000000000e+00,0.000000000e+00,9.983688748e+02,-1.526519148e+05,10
3.090591632e-02,4.500000000e-06,-8.386661678e-01,0.000000000e+00,1.002641724e+03,1.136469743e+06,13
6.344190120e-02,4.500000000e-06,1.505402179e+00,0.000000000e+00,1.003900671e+03,1.250768330e+06,13
1.624997435e-01,1.385977625e-01,1.451581998e+01,2.353478267e+01,8.554327773e+02,1.794267694e+05,10
9.710173345e-02,4.500000000e-06,7.872835809e-01,0.000000000e+00,1.004174890e+03,1.225103245e+06,13
1.686212136e-01,1.236080416e-01,1.305707943e+01,-2.099202384e+01,8.986018005e+02,6.184670444e+04,10
1.319873715e-01,4.500000000e-06,1.055460463e+00,0.000000000e+00,1.003709074e+03,1.144410085e+06,12
1.691319969e-01,4.500000000e-06,6.047348503e-01,0.000000000e+00,1.003590905e+03,1.105186739e+06,12
2.074454318e-01,4.500000000e-06,4.996819944e-01,0.000000000e+00,1.003568284e+03,1.091365261e+06,12
2.471761008e-01,4.500000000e-06,4.133353782e-01,0.000000000e+00,1.003552421e+03,1.081366059e+06,12
2.879729075e-01,4.500000000e-06,2.977201369e-01,0.000000000e+00,1.003486687e+03,1.071897622e+06,12
3.295379827e-01,4.500000000e-06,3.454468367e-01,0.000000000e+00,1.003412010e+03,1.063059313e+06,11
3.876019771e-01,4.500000000e-06,9.628946769e-02,0.000000000e+00,1.003485337e+03,1.067470592e+06,11
4.318920331e-01,4.500000000e-06,-4.874697553e-02,0.000000000e+00,1.003459716e+03,1.065314194e+06,11
5.422028899e-01,4.500000000e-06,2.512698324e-01,0.000000000e+00,1.003792469e+03,1.095881737e+06,11
9.444706542e-01,7.109803124e-02,6.940793063e+01,2.070800940e+01,1.105708701e+03,4.556978156e+06,12
4.500000000e-06,2.159739196e-02,0.000000000e+00,4.051435326e-01,1.003908217e+03,1.506820946e+06,13
1.242212467e-01,6.752834056e-02,1.229813587e+01,-1.708749603e+01,9.495296490e+02,-9.113956312e+05,9
1.563246131e-01,1.158472581e-01,5.787092751e+00,3.973510201e+00,9.726493078e+02,-9.113956312e+05,6
1.908647906e-01,9.815763585e-02,1.735878573e+01,6.168186108e-01,9.966630865e+02,-9.113956312e+05,13
1.707095277e-01,6.683928699e-02,4.158239158e+00,1.113006756e+00,1.000131978e+03,-8.241179728e+04,11
1.969726773e-01,9.529636032e-02,5.446502733e+00,1.677433255e+01,1.016018093e+03,-1.695394483e+05,13
