step,t,dt,vmax,rho_min,rho_avg,rho_max,err_avg_pct,p_min,p_avg,p_max,neigh_min,neigh_avg,neigh_max
1,0.0005,0.0005,1.3989087647426697,841.4772230138129,985.8374219514495,1000.8618327766469,-1.4162578048550447,-79261.38849309353,-7081.289024275224,430.91638832345325,6,9.6,11
2,0.001,0.0005,2.3298994781383455,877.3043912111685,989.256760898486,1023.1017031099217,-1.0743239101514135,-61347.80439441573,-5371.619550757067,11550.851554960844,6,9.42,11
3,0.0015,0.0005,2.3371218597750665,926.472965688837,996.7694166047202,1068.9877374783111,-0.32305833952800045,-36763.517155581496,-1615.2916976400024,34493.86873915557,6,9.3,11
4,0.002,0.0005,1.8666884095179366,945.7098727734697,1006.3360046389469,1117.497557061386,0.6336004638946767,-27145.063613265163,3168.0023194733844,58748.77853069302,6,9.42,11
5,0.0025,0.0005,1.4926443898962622,946.1653893603061,1013.6241911923457,1146.1994525486355,1.3624191192345834,-26917.305319846946,6812.095596172918,73099.72627431773,6,9.46,11
6,0.003,0.0005,1.5634933102752036,961.4144551274107,1016.2198973638128,1138.341781241962,1.6219897363812847,-19292.772436294625,8109.948681906424,69170.89062098102,6,9.58,11
7,0.0035,0.0005,2.1699188153923776,971.8302684157891,1014.27907531924,1101.8489693435288,1.427907531924008,-14084.865792105462,7139.537659620042,50924.48467176439,5,9.46,11
8,0.004,0.0005,2.0245178083070043,945.0614113731315,1009.517782355995,1081.2649725976428,0.9517782355995087,-27469.29431343426,4758.891177997542,40632.48629882139,5,9.34,11
9,0.0045000000000000005,0.0005,1.7217043783537407,900.381138646837,1004.6897330404017,1085.893249757827,0.46897330404018334,-49809.43067658148,2344.866520200917,42946.62487891356,5,9.38,11
10,0.005000000000000001,0.0005,1.4026753341503444,884.6690087454482,1002.0887983497106,1073.6227843517372,0.20887983497104823,-57665.4956272759,1044.3991748552414,36811.392175868605,5,9.5,11
11,0.005500000000000001,0.0005,1.7175494594353051,908.1819605268151,1002.504322650548,1057.6184115039855,0.2504322650547923,-45909.019736592425,1252.1613252739614,28809.205751992748,5,9.62,11
12,0.006000000000000002,0.0005,1.487603139367939,938.212860791675,1005.02042501389,1080.1547176598046,0.5020425013890011,-30893.56960416251,2510.2125069450044,40077.358829902325,5,9.5,11
13,0.006500000000000002,0.0005,2.001952421448832,936.871896962381,1007.2850594956055,1100.523093231584,0.7285059495605567,-31564.051518809494,3642.529747802783,50261.54661579199,5,9.7,11
14,0.007000000000000003,0.0005,2.479959030836665,928.3349134935622,1007.5188335596728,1082.8205813333389,0.751883355967284,-35832.543253218886,3759.416779836419,41410.290666669425,5,9.62,11
15,0.007500000000000003,0.0005,2.122659355466138,935.5229945348851,1006.1848239119545,1064.5704134176572,0.6184823911954426,-32238.502732557434,3092.4119559772116,32285.206708828584,5,9.58,11
16,0.008000000000000004,0.0005,1.2154189856644422,905.6041843429155,1005.0522576339947,1064.629477687631,0.5052257633994812,-47197.90782854227,2526.1288169974064,32314.738843815463,5,9.64,12
17,0.008500000000000004,0.0005,1.8220335087026585,908.6493747738108,1005.229481776282,1082.9260985290225,0.5229481776282016,-45675.312613094604,2614.740888141008,41463.04926451125,5,9.7,12
18,0.009000000000000005,0.0005,2.12532791409466,950.0555268431395,1006.8611463197362,1079.869377836102,0.6861146319736263,-24972.236578430227,3430.5731598681305,39934.68891805105,5,9.7,11
19,0.009500000000000005,0.0005,2.3288232958999884,951.4083691230688,1009.1627007691988,1056.2930025876185,0.9162700769198833,-24295.815438465583,4581.3503845994155,28146.50129380925,5,9.66,11
20,0.010000000000000005,0.0005,2.5395740991623152,956.8404608975421,1010.1180766920468,1096.0000172509192,1.011807669204663,-21579.769551228936,5059.038346023313,48000.0086254596,5,9.58,11
21,0.010500000000000006,0.0005,2.1572912094096632,952.2531636797472,1008.1682781215266,1086.721452081269,0.8168278121526616,-23873.41816012639,4084.1390607633075,43360.726040634516,5,9.58,11
22,0.011000000000000006,0.0005,2.1761828281389226,947.4391995107383,1004.2597044121645,1052.8991883180038,0.42597044121646555,-26280.40024463087,2129.8522060823266,26449.594159001892,5,9.5,11
23,0.011500000000000007,0.0005,1.2767021069244737,932.5096995952398,1001.2895375435708,1046.3104139578634,0.12895375435708412,-33745.1502023801,644.7687717854208,23155.20697893169,5,9.42,11
24,0.012000000000000007,0.0005,1.3487714753510578,917.3769645934359,1001.063890727259,1047.2139893534852,0.10638907272589392,-41311.51770328205,531.9453636294696,23606.9946767426,5,9.22,11
25,0.012500000000000008,0.0005,1.4248918284327052,931.5781910520719,1003.24795875952,1059.4744478192902,0.3247958759519923,-34210.90447396404,1623.9793797599611,29737.22390964508,5,9.26,11
