step,bins,x_window,vx_mean_0,vx_mean_1,vx_mean_2,vx_mean_3,vx_mean_4,vx_mean_5,vx_mean_6,vx_mean_7
50,8,0.08,0.0,0.0,0.020554525362141085,0.02054447156519725,0.02679659001021851,0.020554525362147552,0.0,0.0
100,8,0.08,0.0,0.0,0.03633541437906722,-0.013436643770872447,0.0797399494963288,0.03633541437907982,0.0,0.0
150,8,0.08,0.0,0.0,0.06040133667965118,0.047613496479265854,0.04890879421902746,0.06040133667976511,0.0,0.0
200,8,0.08,0.0,0.0,0.07290750632708617,0.09539602911987255,0.07199237911829656,0.07290750632704862,0.0,0.0
250,8,0.08,0.0,0.0,0.10929683636028421,0.036262722958564086,0.08346238694456717,0.10929683636000857,0.0,0.0
300,8,0.08,0.0,0.0,0.08426102619633785,0.10346492880439112,0.0926649753232005,0.08426102619583682,0.0,0.0
350,8,0.08,0.0,0.0,0.06772614539591615,0.08457009271339487,0.06387697462011745,0.06772614539517403,0.0,0.0
400,8,0.08,0.0,0.0,0.08864834976474181,0.15092841070858115,0.12139023622074444,0.08864834976467362,0.0,0.0
450,8,0.08,0.0,0.0,0.11711409994828174,0.14781959272789302,0.1289860918103911,0.11711409994778585,0.0,0.0
500,8,0.08,0.0,0.0,0.1319443631601235,0.14665488884727085,0.12894941287997405,0.13194436315969674,0.0,0.0
