step,t,dt,vmax,rho_min,rho_avg,rho_max,err_avg_pct,p_min,p_avg,p_max,neigh_min,neigh_avg,neigh_max
1,0.0002,0.0002,0.839039957734798,849.3229212992115,1000.0,1009.0325247172013,-7.827072323607354e-15,0.0,303506.1486097041,602124.0849321635,5,8.651428571428571,9
2,0.0004,0.0002,0.839059957734798,849.5892883143061,1000.0,1009.949140640749,-1.0150610510858574e-15,0.0,128564.07664211495,502314.70258507284,5,8.651428571428571,9
3,0.0006000000000000001,0.0002,0.839079957734798,849.6241319469259,999.8892215882568,1010.0208176707241,-0.011077841174315015,0.0,9281.879424291705,68686.0687348261,5,8.651428571428571,9
4,0.0008,0.0002,0.8390999577347981,848.9979774428185,999.1192394998517,1010.0000028041691,-0.08807605001483067,0.0,1428.6554176112766,27802.98398610627,5,8.651428571428571,9
5,0.001,0.0002,0.8391199577347981,848.3679533277777,998.3548350327413,1009.9796150700608,-0.1645164967258636,0.0,0.0,0.0,5,8.651428571428571,9
6,0.0012000000000000001,0.0002,0.8391399577347981,847.7340780450529,997.5966447463239,1009.9617500550684,-0.2403355253676124,0.0,0.0,0.0,5,8.651428571428571,9
7,0.0014000000000000002,0.0002,0.8391599577347981,847.0963703840944,996.8448033567895,1009.9431245920938,-0.3155196643210455,0.0,0.0,0.0,5,8.651428571428571,9
8,0.0016000000000000003,0.0002,0.8391799577347981,846.4548494820854,996.0992918677448,1009.9237358843873,-0.3900708132255134,0.0,0.0,0.0,5,8.651428571428571,9
9,0.0018000000000000004,0.0002,0.8391999577347982,845.8095348252657,995.3600914660249,1009.90358132411,-0.4639908533975028,0.0,0.0,0.0,5,8.651428571428571,9
10,0.0020000000000000005,0.0002,0.8392199577347982,845.1604462500577,994.6271835180519,1009.8826584925744,-0.5372816481948138,0.0,0.0,0.0,5,8.651428571428571,9
11,0.0022000000000000006,0.0002,0.8392399577347982,844.5076039439958,993.9005495673368,1009.8609651604662,-0.6099450432662908,0.0,0.0,0.0,5,8.651428571428571,9
12,0.0024000000000000007,0.0002,0.8392599577347982,843.8510284464728,993.1801713306113,1009.8384992880532,-0.681982866938883,0.0,0.0,0.0,5,8.651428571428571,9
13,0.0026000000000000007,0.0002,0.8392799577347982,843.1907406492899,992.4660306935355,1009.8152590253767,-0.7533969306464298,0.0,0.0,0.0,5,8.651428571428571,9
14,0.002800000000000001,0.0002,0.8392999577347983,842.5267617970139,991.7581097058787,1009.7912427124259,-0.824189029412126,0.0,0.0,0.0,5,8.628571428571428,9
15,0.003000000000000001,0.0002,0.8393199577347983,841.8591134871452,991.056390576148,1009.7664488790907,-0.8943609423852118,0.0,0.0,0.0,5,8.628571428571428,9
16,0.003200000000000001,0.0002,0.8393399577347983,841.187817670089,990.3608556658405,1009.740876245394,-0.9639144334159294,0.0,0.0,0.0,5,8.628571428571428,9
17,0.003400000000000001,0.0002,0.8393599577347983,840.5128966489387,989.6714874829484,1009.7145237218061,-1.0328512517051627,0.0,0.0,0.0,5,8.628571428571428,9
18,0.003600000000000001,0.0002,0.8393799577347983,839.8343730790689,988.9882686750567,1009.6873904092826,-1.101173132494325,0.0,0.0,0.0,5,8.628571428571428,9
19,0.0038000000000000013,0.0002,0.8393999577347984,839.1522699675327,988.311182021955,1009.6594755993578,-1.1688817978045076,0.0,0.0,0.0,5,8.628571428571428,9
20,0.004000000000000001,0.0002,0.8394199577347984,838.4666106722735,987.6402104276425,1009.6307787742203,-1.2359789572357462,0.0,0.0,0.0,5,8.628571428571428,9
21,0.004200000000000001,0.0002,0.8394399577347984,837.7774189011462,986.9753369119677,1009.6012996067717,-1.3024663088032404,0.0,0.0,0.0,5,8.628571428571428,9
