step,t,name,p,vx,vy,vz
10,0.002000,inlet,601.024744,-0.096989,0.021895,0.009849
10,0.002000,outlet,244.981119,0.000006,-0.000000,0.000000
10,0.002000,mid,6792.518121,0.088530,0.040774,0.018466
20,0.004000,inlet,626.099628,-0.154118,0.030762,0.012917
20,0.004000,outlet,246.340090,0.000053,0.000005,0.000006
20,0.004000,mid,6897.580523,0.105718,0.044329,0.020090
30,0.006000,inlet,653.497539,-0.183673,0.034870,0.013970
30,0.006000,outlet,253.103856,0.000259,0.000031,0.000031
30,0.006000,mid,6955.104269,0.112033,0.045022,0.020706
40,0.008000,inlet,683.241925,-0.198967,0.037030,0.014335
40,0.008000,outlet,269.496718,0.000696,0.000090,0.000083
40,0.008000,mid,6894.062743,0.113961,0.043568,0.022465
50,0.010000,inlet,715.279831,-0.206158,0.037487,0.014359
50,0.010000,outlet,297.660345,0.001332,0.000177,0.000155
50,0.010000,mid,6913.393140,0.115435,0.043267,0.022754
60,0.012000,inlet,749.042247,-0.207372,0.035943,0.014188
60,0.012000,outlet,337.691344,0.002091,0.000279,0.000240
60,0.012000,mid,6947.812865,0.116924,0.043302,0.022588
70,0.014000,inlet,785.220150,-0.207124,0.035129,0.014268
70,0.014000,outlet,388.530484,0.002897,0.000387,0.000331
70,0.014000,mid,6994.210113,0.118130,0.043340,0.022295
80,0.016000,inlet,823.165352,-0.204419,0.034018,0.016129
80,0.016000,outlet,448.787024,0.003692,0.000489,0.000420
80,0.016000,mid,7029.662917,0.118035,0.043131,0.019782
90,0.018000,inlet,863.438324,-0.200245,0.033182,0.017715
90,0.018000,outlet,517.070298,0.004466,0.000590,0.000505
90,0.018000,mid,7053.535303,0.117817,0.042961,0.018287
100,0.020000,inlet,906.329619,-0.195839,0.032642,0.018769
100,0.020000,outlet,591.782090,0.005180,0.000679,0.000569
100,0.020000,mid,7064.231722,0.117924,0.042853,0.017531
110,0.022000,inlet,949.295674,-0.191631,0.032973,0.018448
110,0.022000,outlet,671.662042,0.005827,0.000756,0.000603
110,0.022000,mid,7071.498786,0.118003,0.042755,0.017020
120,0.024000,inlet,1331.435265,-0.171909,0.041172,0.014399
120,0.024000,outlet,755.850828,0.006412,0.000821,0.000610
120,0.024000,mid,7079.038606,0.117928,0.042651,0.016607
130,0.026000,inlet,1389.110737,-0.161262,0.044738,0.010362
130,0.026000,outlet,843.834251,0.006944,0.000877,0.000598
130,0.026000,mid,7086.837608,0.117651,0.042523,0.016260
140,0.028000,inlet,1703.040023,-0.149312,0.044928,0.011236
140,0.028000,outlet,935.323775,0.007432,0.000926,0.000574
140,0.028000,mid,7094.882651,0.117126,0.042285,0.015947
150,0.030000,inlet,4331.800699,-0.129294,0.042889,0.012565
150,0.030000,outlet,1030.166317,0.007885,0.000968,0.000543
150,0.030000,mid,7103.067048,0.114830,0.039414,0.015621
160,0.032000,inlet,4729.720684,-0.123850,0.045334,0.017699
160,0.032000,outlet,1128.205668,0.008308,0.001005,0.000510
160,0.032000,mid,7111.322574,0.112124,0.037891,0.015473
170,0.034000,inlet,4121.217227,-0.054140,0.002065,0.017410
170,0.034000,outlet,1229.014608,0.008696,0.001032,0.000478
170,0.034000,mid,7119.711545,0.110360,0.037373,0.015337
180,0.036000,inlet,1695.017355,-0.033445,-0.011390,0.008519
